,s.game,,,,,,,,playing,Views,followers,,,,,,,,
31242020464,,13,720,30,0,2018-11-14T22:08:52Z,Shaphira_Designs,shaphira_designs,Creative,3288,298,DiseÌ±ando en Directo,es,es,,2016-03-26T18:13:44Z,2018-11-14T22:02:20Z,FALSE,FALSE
31242020464,,13,720,30,0,2018-11-14T22:08:52Z,Shaphira_Designs,shaphira_designs,Creative,3288,298,DiseÌ±ando en Directo,es,es,,2016-03-26T18:13:44Z,2018-11-14T22:02:20Z,FALSE,FALSE
31242020464,,13,720,30,0,2018-11-14T22:08:52Z,Shaphira_Designs,shaphira_designs,Creative,3288,298,DiseÌ±ando en Directo,es,es,,2016-03-26T18:13:44Z,2018-11-14T22:02:20Z,FALSE,FALSE
31242020464,,13,720,30,0,2018-11-14T22:08:52Z,Shaphira_Designs,shaphira_designs,Creative,3288,298,DiseÌ±ando en Directo,es,es,,2016-03-26T18:13:44Z,2018-11-14T22:02:20Z,FALSE,FALSE
31241825824,The Jackbox Party Pack 5,13,720,30,0,2018-11-14T21:51:35Z,SophiaKim,sophiakim,Doki Doki Literature Club,1955,130,I FOKIN HIT AFFILIATE. Jackbox stream :^),en,en,,2017-11-14T01:10:44Z,2018-11-14T22:19:06Z,FALSE,FALSE
31241197808,,13,720,30,0,2018-11-14T20:55:04Z,LunaSorcery,lunasorcery,Creative,1696,125,Shader Live-coding in Bonzomatic!,en,en,,2013-04-07T16:40:26Z,2018-11-14T21:30:51Z,FALSE,FALSE
31240022256,Call of Duty: Black Ops 4,13,720,30,0,2018-11-14T19:13:22Z,Juan_Morales_,juan_morales_,Fortnite,498,122,Directo al canto.. xD,es,es,,2018-09-12T19:31:27Z,2018-11-14T22:14:59Z,FALSE,FALSE
31240022256,Call of Duty: Black Ops 4,13,720,30,0,2018-11-14T19:13:22Z,Juan_Morales_,juan_morales_,Fortnite,498,122,Directo al canto.. xD,es,es,,2018-09-12T19:31:27Z,2018-11-14T22:14:59Z,FALSE,FALSE
31240022256,Call of Duty: Black Ops 4,11,720,30,0,2018-11-14T19:13:22Z,Juan_Morales_,juan_morales_,Fortnite,498,122,Directo al canto.. xD,es,es,,2018-09-12T19:31:27Z,2018-11-14T22:14:59Z,FALSE,FALSE
31241266112,Fortnite,11,864,60,0,2018-11-14T21:00:44Z,Phazed,phazed,Call of Duty: Black Ops 4,52353,4825,What to do |  @Phazed562 on Twitter:),en,en,,2015-02-06T00:10:25Z,2018-11-14T22:09:54Z,FALSE,TRUE
31241260464,,11,1080,30,0,2018-11-14T21:00:17Z,Stephen_Wolfram,stephen_wolfram,Creative,22456,986,Live CEOing (205): Resource System Framework in #WolfLang,en,en,,2017-06-01T00:14:02Z,2018-11-14T22:03:28Z,FALSE,TRUE
31240022256,Call of Duty: Black Ops 4,11,720,30,0,2018-11-14T19:13:22Z,Juan_Morales_,juan_morales_,Fortnite,498,122,Directo al canto.. xD,es,es,,2018-09-12T19:31:27Z,2018-11-14T22:14:59Z,FALSE,FALSE
31239868144,,11,720,30,0,2018-11-14T19:00:45Z,nenasaurs,nenasaurs,Creative,4199,429,crochet commission work <3 ~ subs get doodles!,en,en,,2017-02-14T06:38:25Z,2018-11-14T21:31:08Z,FALSE,FALSE
31240967440,The Plague,10,720,30,0,2018-11-14T20:34:22Z,Clabio,clabio,Destiny 2,714,37,[ENG] Looks fun!!!,en,no,,2015-05-26T20:59:40Z,2018-11-14T22:16:25Z,TRUE,FALSE
31240967440,The Plague,10,720,30,0,2018-11-14T20:34:22Z,Clabio,clabio,Destiny 2,714,37,[ENG] Looks fun!!!,en,no,,2015-05-26T20:59:40Z,2018-11-14T22:16:25Z,TRUE,FALSE
31240967440,The Plague,10,720,30,0,2018-11-14T20:34:22Z,Clabio,clabio,Destiny 2,714,37,[ENG] Looks fun!!!,en,no,,2015-05-26T20:59:40Z,2018-11-14T22:16:25Z,TRUE,FALSE
31240967440,The Plague,10,720,30,0,2018-11-14T20:34:22Z,Clabio,clabio,Destiny 2,714,37,[ENG] Looks fun!!!,en,no,,2015-05-26T20:59:40Z,2018-11-14T22:16:25Z,TRUE,FALSE
31240485712,Call of Duty: Black Ops 4,9,720,60.031597,0,2018-11-14T19:54:11Z,HighRob,highrob,Mortal Kombat X,707,67,[EN/PC] LV8 ‰ª£ MORTAAALLL KOMBAT ‰ª£,en,en,,2018-03-16T21:13:52Z,2018-11-14T22:18:50Z,TRUE,FALSE
31241957104,,8,720,30,0,2018-11-14T22:03:06Z,humbleacresyarn,humbleacresyarn,Creative,19288,229,Magic Monday,en,en,,2017-02-07T00:52:41Z,2018-11-14T21:02:00Z,TRUE,FALSE
31240672816,,8,768,30,0,2018-11-14T20:08:43Z,MrRobinHess,mrrobinhess,Creative,16747,1572,#digital #fanart #drawing #comic #art,ru,ru,,2016-04-29T12:21:19Z,2018-11-14T21:32:28Z,FALSE,FALSE
31231218128,,8,1440,29.979675,0,2018-11-14T00:45:07Z,whalepool,whalepool,IRL,24221,540,Whalepool Live Bitcoin / Cryptocurrency Trading Stream 24/7/365,en,en,,2016-09-17T22:01:09Z,2018-11-14T21:04:03Z,FALSE,FALSE
31241432976,,7,540,30,0,2018-11-14T21:15:23Z,yuniese,yuniese,Creative,159,19,megumin scribbles,en,en-gb,,2018-04-05T20:56:35Z,2018-11-14T22:06:53Z,FALSE,FALSE
31241275824,,7,1080,30,0,2018-11-14T21:01:30Z,red_clay_skull,red_clay_skull,Creative,2194,132,Sculptastic! :D,en,en,,2014-02-16T01:53:08Z,2018-11-14T22:06:26Z,TRUE,FALSE
31239888176,,7,720,30,0,2018-11-14T19:02:15Z,Steffanie_Rainbow,steffanie_rainbow,Creative,1076,86,chill stream + Storyboarding my Manga,en,de,,2016-09-03T17:05:27Z,2018-11-14T22:02:55Z,TRUE,FALSE
